ID,Creator/Property,youtube 2023-05 Views,youtube 2023-05 Views Growth,facebook 2023-05 Views,facebook 2023-05 Views Growth,instagram 2023-05 Views,instagram 2023-05 Views Growth,tiktok 2023-05 Views,tiktok 2023-05 Views Growth,twitter 2023-05 Views,twitter 2023-05 Views Growth,youtube 2023-05 V30,facebook 2023-05 V30,instagram 2023-05 V30,tiktok 2023-05 V30,youtube 2023-05 Engagements,facebook 2023-05 Engagements,instagram 2023-05 Engagements,twitter 2023-05 Engagements,tiktok 2023-05 Engagements,youtube 2023-05 E30,facebook 2023-05 E30,instagram 2023-05 E30,tiktok 2023-05 E30,youtube 2023-05 ER30,facebook 2023-05 ER30,instagram 2023-05 ER30,tiktok 2023-05 ER30,youtube 2023-05 Followers,youtube 2023-05 Followers Growth,facebook 2023-05 Followers,facebook 2023-05 Followers Growth,instagram 2023-05 Followers,instagram 2023-05 Followers Growth,twitter 2023-05 Followers,twitter 2023-05 Followers Growth,twitch 2023-05 Followers,twitch 2023-05 Followers Growth,tiktok 2023-05 Followers,tiktok 2023-05 Followers Growth,Creator/Property Type,2022-10 - 2023-04 Relevance Score,2022-10 - 2023-04 Viewing Affinity,2022-10 - 2023-04 Audience Overlap,2022-10 - 2023-04 Market Share
gYLdyOZFAX,Rit Dye I Fabric Dye,11911450.0,11.992405112996169,31.0,-0.2619047619047619,,,193888.0,-0.7452800319503509,1.0,0.0,24967.0,,,57775.0,797169.0,1.0,452444.0,0.0,14109.0,2404.0,,3127.0,4016.0,5.3499,,,1.3685,21800.0,9.9,4.0,-0.8095238095238095,10465.0,7.663079470198675,-7.0,,,,800.0,-0.6923076923076923,brand,1.9786032040813073,15.673819851685565,0.0017920554959121315,0.12623618382780685
vuhhuqSLPX,baejin cafe,2201421.0,0.0985414299465705,,,,,,,,,83107.0,,,,24220.0,,,,,3245.0,,,,2.1692,,,,2000.0,0.0,,,-90.0,,,,,,,,influencer,1.9784953003795223,15.673392457694026,0.0021141299859608557,0.126232741617357
382hc9bJiA03XjhdH01,Taylor & Soph,6698810.0,-0.6374020513915301,,,,,,,,,208375.0,,,,279250.0,,,,,8542.0,,,,2.2776,,,,35000.0,-0.10256410256410256,,,,,,,,,,,influencer,1.97822619972352,15.672326530568231,0.0019159302997770254,0.12622415669205658
7E3MxzKEaA03UXiUA01,thekardashiansdaily,2842187.0,-0.3341093736565041,,,,,0.0,,,,,,,,112702.0,,,,0.0,,,,,,,,,2000.0,-0.5,,,,,,,,,0.0,,influencer,1.978142876460209,15.671996466407332,0.005120158559748947,0.1262214983713355
4dDdtYctr03Wt73g01,Ashley Norton,519226.0,-0.30370378317198543,,,,,,,,,205414.0,,,,19116.0,,,,,9864.0,,,,2.6679,,,,7400.0,-0.34513274336283184,,,,,,,,,,,influencer,1.975875268359338,15.663011236629893,0.0020398051036419193,0.1261491317671093
61pqWPjh303XPay201,Golloria,3713066.0,-0.681631683643722,,,,,,,,,312216.0,,,,192529.0,,,,,42817.0,,,,7.6189,,,,5000.0,-0.75,,,,,,,,,,,influencer,1.9733711998986299,15.653083057602997,0.011198282269386408,0.1260691706954258
9zpM3i1lBa,Stephan Speaks,2725760.0,0.01798321486939089,924575.0,-0.2668282764844234,,,2457498.0,0.14553450940084883,10403.0,25.74293059125964,81047.0,21769.0,,222611.0,92092.0,55327.0,54176.0,980.0,274426.0,3756.0,891.0,25350.0,28179.0,2.5752,1.6066,,2.4918,20000.0,-0.3333333333333333,0.0,,10861.0,0.03764211330849336,945.0,3.8711340206185567,,,13100.0,0.11016949152542373,influencer,1.9718304518347574,15.646971139379406,0.0022958130316293665,0.12601994560290117
7635ihn8CP03Xccgg01,scvideos,133622.0,-0.4362987462243297,,,,,,,,,184344.0,,,,5234.0,,,,,16820.0,,,,5.069,,,,100.0,,,,,,,,,,,,influencer,1.9712949212131903,15.644846209927904,0.004409943017590222,0.12600283152430392
2CvUgy28M03W2WUc01,ikoxun,508692.0,0.05838586854753137,,,,,1042227.0,23.113902963837024,0.0,,43477.0,,,233216.0,24073.0,,2971.0,0.0,250871.0,2779.0,,,56696.0,3.5519,,,4.7856000000000005,9000.0,0.125,,,4208.0,5.463901689708141,6.0,,,,5800.0,18.333333333333332,influencer,1.964869362815884,15.619327723567391,0.0029317036914691553,0.12579730687455706
LL1oXzALRZ,Sally Beauty,8417370.0,-0.5009344098810288,92403.0,-0.5834099761956286,,,338626.0,-0.5670480596011165,170.0,0.4406779661016949,92918.0,6376.0,,15999.0,244806.0,6261.0,30962.0,4.0,11461.0,3370.0,60.0,825.0,631.0,2.0152,0.37470000000000003,,0.7774000000000001,9000.0,-0.25,2841.0,-0.13092688895686755,447.0,-0.21853146853146854,-213.0,,,,2300.0,-0.4888888888888889,brand,1.964293543906016,15.617038878450941,0.007168221983648526,0.12577887262715548
LTZ7C9raPZ,Edvasian,1546070.0,0.13550450178507034,0.0,-1.0,,,6903.0,0.1753788523752767,5.0,0.25,224089.0,,,,87420.0,0.0,1.0,0.0,228.0,17246.0,,,,4.2756,,,,6000.0,0.2,0.0,,-956.0,,-42.0,,,,-300.0,,influencer,1.9623175986782886,15.609182064532032,0.004533817821455116,0.12571559422944814
nRTHYXi0Fk,Shayda Campbell,497316.0,-0.13088247630232364,106.0,0.1276595744680851,,,2083.0,,0.0,,12824.0,,,3887.0,14694.0,0.0,6819.0,0.0,119.0,900.0,,1546.0,265.0,3.9004000000000003,,,1.3417,10000.0,,0.0,,-323.0,,2.0,,,,312.0,,influencer,1.9609582363751727,15.603774629552177,0.0015443058881823438,0.1256720430107527
dGS1KLsvKK,Yuri Lamasbella,21562803.0,2.4631330277306933,,,,,53862897.0,0.08980995695644065,2375.0,1.3845381526104417,197386.0,,,5034708.0,1790280.0,,3211832.0,19.0,5586964.0,17317.0,,221086.0,647136.0,4.8742,,,2.5302,58000.0,3.4615384615384617,,,126652.0,-0.5791061838677088,84.0,-0.3488372093023256,,,0.0,-1.0,influencer,1.9607293206383858,15.60286383661682,0.003707985795689157,0.12566470752868739
CSPR8EsHc4,Ava Jules,760600.0,-0.3648895654344945,,,,,10493712.0,2.2668322438405104,0.0,,219155.0,,,217973.0,32274.0,,111580.0,0.0,1659829.0,11869.0,,29845.0,29581.0,3.009,,,2.617,0.0,,,,-3738.0,,0.0,,,,3200.0,4.333333333333333,influencer,1.9592022855016045,15.5967868218363,0.0033693946651251134,0.12561576354679804
MyCvQk16d6,honeybobabear,23444112.0,0.07811534712214385,,,,,25492215.0,-0.13354954078716896,,,1446963.0,,,2994544.0,1561492.0,,251336.0,,3154481.0,103325.0,,25339.0,381049.0,3.9671000000000003,,,2.5049,50000.0,0.25,,,22836.0,0.5495691117595168,,,,,100000.0,,influencer,1.9574353149833765,15.589751999740377,0.0032455198612602195,0.1255591054313099
4vae2zcBgQ,Hometalk,22501322.0,0.6679374615053385,28570425.0,-0.35349927736459724,,,5219884.0,-0.17958485127916093,0.0,-1.0,289557.0,339889.0,,168444.0,4388.0,487238.0,74920.0,0.0,185041.0,69.0,7283.0,5540.0,7602.0,0.0105,0.8404,,0.8678,30000.0,2.0,2956.0,-0.9037039450109131,2984.0,-0.8879206730769231,-57.0,,,,11200.0,-0.7068062827225131,media company,1.9574142349729127,15.589668054943441,0.004409943017590222,0.12555842934399247
pfebWzrRku,Mia Maples,26907609.0,1.1867709810916491,12542673.0,0.4552182414384052,,,1359017.0,-0.6369175190582522,0.0,,1329825.0,209090.0,,689990.0,1233817.0,249958.0,,0.0,122670.0,79386.0,2137.0,,82281.0,3.3165,0.40090000000000003,,2.3474,100000.0,2.3333333333333335,0.0,-1.0,,,0.0,,,,8600.0,-0.6293103448275862,media company,1.95688360767491,15.587554842524975,0.0157981666529028,0.12554140963381022
ak8pEvbVHM,Sadie Aldis,464788.0,2.1521522404052873,,,,,2102770.0,4.124832443762034,0.0,,,,,28226.0,25967.0,,5411.0,0.0,381965.0,,,,4128.0,,,,2.8792,0.0,,,,-858.0,,-33.0,,,,400.0,,influencer,1.9556974520610197,15.582829965619892,0.0015443058881823438,0.12550335570469798
jNOgAPLOsr,Holly Dolke,1226833.0,-0.004691647682652181,311.0,-0.2699530516431925,,,6741.0,-0.3740365864982821,,,6480.0,1524.0,,,20111.0,290.0,5060.0,,508.0,262.0,42.0,597.0,,2.2494,1.0866,,,0.0,,0.0,,-1775.0,,,,,,45.0,-0.35714285714285715,influencer,1.9543252158034952,15.577362075755891,0.0019737385415806424,0.12545931758530185
UX3Ki7gygW03WMzZZ01,Christxiee,43000810.0,-0.13750403785924914,,,,,,,,,299804.0,,,,2502643.0,,,,,25182.0,,,,4.6665,,,,39000.0,-0.22,,,,,,,,,,,influencer,1.9509934439127712,15.56407811572768,0.020199851350235363,0.1253523292164198
6XqxwhfQF03Qw9ac01,민카롱,2433387.0,-0.033600186180099065,,,,,,,,,164107.0,,,,51363.0,,,,,4643.0,,,,1.5721,,,,15000.0,-0.21052631578947367,,,,,,,,,,,influencer,1.9503289294210107,15.561427303056373,0.001172681476587662,0.12533097969991175
cSIkQsY359,Fanjoy,337903.0,-0.0011676096222856772,10.0,-0.16666666666666666,,,184432.0,-0.6910893742462817,34.0,-0.8333333333333334,12121.0,,,51057.0,20553.0,0.0,14245.0,1.0,12792.0,594.0,,681.0,6947.0,2.7252,,,2.6787,700.0,-0.125,-40.0,,1411.0,,-103.0,,,,-100.0,-1.2,brand,1.9477020690808906,15.550944079118292,0.0010488066727227681,0.1252465483234714
